split,threshold,loss,iou,precision,recall,f1,mae
validation,0.88,0.5795807274182637,0.48575676639874776,0.8262031133969625,0.543150102297465,0.6451097393035888,0.14698632220427196
validation,0.89,0.5795807274182637,0.4729919755458832,0.8332378188769023,0.524313227335612,0.6331601572036744,0.14698632220427196
validation,0.9,0.5795807274182637,0.45837920387585956,0.8409490132331848,0.503448136250178,0.6192358835538229,0.14698632220427196
validation,0.91,0.5795807274182637,0.4413072701295217,0.8501138885815939,0.4798532764116923,0.6026487445831299,0.14698632220427196
validation,0.92,0.5795807274182637,0.42172614494959515,0.8603237779935201,0.45364630897839864,0.5830587681134541,0.14698632220427196
validation,0.93,0.5795807274182637,0.3991275684038798,0.8721294005711874,0.4245683534940084,0.5596078666051229,0.14698632220427196
validation,0.94,0.5795807274182637,0.37169181267420454,0.8873489276568095,0.3906918839613597,0.5301675057411194,0.14698632220427196
validation,0.95,0.5795807274182637,0.33666319668293,0.9037567790349325,0.3498309250672658,0.4909888911247253,0.14698632220427196
validation,0.96,0.5795807274182637,0.29295200407505034,0.9235336510340373,0.300998187661171,0.4397512249151866,0.14698632220427196
test,0.88,0.5159443759918213,0.5020154925187429,0.8470147585868836,0.5548719545205434,0.6583482273419698,0.13951545317967734
test,0.89,0.5159443759918213,0.4888403646151225,0.8543918164571126,0.5356071221828461,0.646189030011495,0.13951545317967734
test,0.9,0.5159443759918213,0.47361788908640545,0.862050716082255,0.5143461120128632,0.6319122723738353,0.13951545317967734
test,0.91,0.5159443759918213,0.4557367440064748,0.871081620057424,0.4902460523446401,0.6147394255797068,0.13951545317967734
test,0.92,0.5159443759918213,0.43503536144892374,0.8805597114562989,0.46354482213656106,0.5944232924779256,0.13951545317967734
test,0.93,0.5159443759918213,0.4088752830028534,0.8910616668065389,0.43126632809638976,0.5679791478315989,0.13951545317967734
test,0.94,0.5159443759918213,0.376266570687294,0.9021440911293029,0.3928327492872874,0.533704494635264,0.13951545317967734
test,0.95,0.5159443759918213,0.33777162313461306,0.9149930588404338,0.34947384397188824,0.4915097876389821,0.13951545317967734
test,0.96,0.5159443759918213,0.29028812766075135,0.9298021626472474,0.2978089352448781,0.436544322570165,0.13951545317967734
